test,approach,answer,time
ca-AstroPh,AF-WCC,1,8.466060318
ca-AstroPh,AF-WCC,2,8.466539827
ca-AstroPh,AF-WCC,3,8.466662145
ca-AstroPh,AF-WCC,4,8.466776962
ca-AstroPh,AF-WCC,5,8.466789513
ca-AstroPh,AF-WCC,6,8.468014498
ca-AstroPh,AF-WCC,7,8.468977346
ca-AstroPh,AF-WCC,8,8.468982293
ca-AstroPh,AF-WCC,9,8.468997471
ca-AstroPh,AF-WCC,10,8.468999466
ca-AstroPh,AF-WCC,11,8.469011306
ca-AstroPh,AF-WCC,12,8.469011416
ca-AstroPh,AF-WCC,13,8.469022708
ca-AstroPh,AF-WCC,14,8.469025019
ca-AstroPh,AF-WCC,15,8.469033063000001
ca-AstroPh,AF-WCC,16,8.469035104000001
ca-AstroPh,AF-WCC,17,8.469044404
ca-AstroPh,AF-WCC,18,8.469048199000001
ca-AstroPh,AF-WCC,19,8.469058387
ca-AstroPh,AF-WCC,20,8.469058702
ca-AstroPh,AF-WCC,21,8.469074616
ca-AstroPh,AF-WCC,22,8.469076147
ca-AstroPh,AF-WCC,23,8.469085060000001
ca-AstroPh,AF-WCC,24,8.469086256
ca-AstroPh,AF-WCC,25,8.469096723
ca-AstroPh,AF-WCC,26,8.469098682
ca-AstroPh,AF-WCC,27,8.469111117
ca-AstroPh,AF-WCC,28,8.469111210000001
ca-AstroPh,AF-WCC,29,8.469121185
ca-AstroPh,AF-WCC,30,8.469124363
ca-AstroPh,AF-WCC,31,8.469129999
ca-AstroPh,AF-WCC,32,8.469135071
ca-AstroPh,AF-WCC,33,8.469139719000001
ca-AstroPh,AF-WCC,34,8.469145101
ca-AstroPh,AF-WCC,35,8.469148474
ca-AstroPh,AF-WCC,36,8.469157755000001
ca-AstroPh,AF-WCC,37,8.469168242
ca-AstroPh,AF-WCC,38,8.469168369
ca-AstroPh,AF-WCC,39,8.469180433
ca-AstroPh,AF-WCC,40,8.469181418
ca-AstroPh,AF-WCC,41,8.469191308000001
ca-AstroPh,AF-WCC,42,8.46919235
ca-AstroPh,AF-WCC,43,8.469203354000001
ca-AstroPh,AF-WCC,44,8.469203929
ca-AstroPh,AF-WCC,45,8.469213907
ca-AstroPh,AF-WCC,46,8.469214994
ca-AstroPh,AF-WCC,47,8.4692249
ca-AstroPh,AF-WCC,48,8.469226028000001
ca-AstroPh,AF-WCC,49,8.469235457
ca-AstroPh,AF-WCC,50,8.469236428
ca-AstroPh,AF-WCC,51,8.469245667000001
ca-AstroPh,AF-WCC,52,8.469248119000001
ca-AstroPh,AF-WCC,53,8.469254621000001
ca-AstroPh,AF-WCC,54,8.469258622
ca-AstroPh,AF-WCC,55,8.469263637000001
ca-AstroPh,AF-WCC,56,8.469272629
ca-AstroPh,AF-WCC,57,8.469272688
ca-AstroPh,AF-WCC,58,8.46928171
ca-AstroPh,AF-WCC,59,8.469283930000001
ca-AstroPh,AF-WCC,60,8.469291505000001
ca-AstroPh,AF-WCC,61,8.469294918000001
