test,approach,answer,time
email-Enron,AF-WCC,1,8.138347865
email-Enron,AF-WCC,2,8.139632241000001
email-Enron,AF-WCC,3,8.139731256000001
email-Enron,AF-WCC,4,8.13980134
email-Enron,AF-WCC,5,8.139868365
email-Enron,AF-WCC,6,8.139886389
email-Enron,AF-WCC,7,8.139904455
email-Enron,AF-WCC,8,8.139924771
email-Enron,AF-WCC,9,8.139960126
email-Enron,AF-WCC,10,8.139979803000001
email-Enron,AF-WCC,11,8.139987583
email-Enron,AF-WCC,12,8.139994523
email-Enron,AF-WCC,13,8.140008805
email-Enron,AF-WCC,14,8.140019855
email-Enron,AF-WCC,15,8.140029241
email-Enron,AF-WCC,16,8.140039446000001
email-Enron,AF-WCC,17,8.140046456
email-Enron,AF-WCC,18,8.140053684
email-Enron,AF-WCC,19,8.140061636
email-Enron,AF-WCC,20,8.140068817000001
email-Enron,AF-WCC,21,8.140076309000001
email-Enron,AF-WCC,22,8.14008525
email-Enron,AF-WCC,23,8.140093314000001
email-Enron,AF-WCC,24,8.140102326000001
email-Enron,AF-WCC,25,8.14011046
email-Enron,AF-WCC,26,8.140118880000001
email-Enron,AF-WCC,27,8.140127948
email-Enron,AF-WCC,28,8.140145401
email-Enron,AF-WCC,29,8.140154577
email-Enron,AF-WCC,30,8.140165179
email-Enron,AF-WCC,31,8.140173929000001
email-Enron,AF-WCC,32,8.140182673
email-Enron,AF-WCC,33,8.140191656
email-Enron,AF-WCC,34,8.140199841000001
email-Enron,AF-WCC,35,8.140208636
email-Enron,AF-WCC,36,8.140216145
email-Enron,AF-WCC,37,8.140223686
email-Enron,AF-WCC,38,8.140241062000001
email-Enron,AF-WCC,39,8.140249108
email-Enron,AF-WCC,40,8.140256642
email-Enron,AF-WCC,41,8.140264446
email-Enron,AF-WCC,42,8.140273319
email-Enron,AF-WCC,43,8.140280717000001
email-Enron,AF-WCC,44,8.140288263
email-Enron,AF-WCC,45,8.140296271
email-Enron,AF-WCC,46,8.140302816
email-Enron,AF-WCC,47,8.140310039000001
email-Enron,AF-WCC,48,8.140316846000001
email-Enron,AF-WCC,49,8.14032531
email-Enron,AF-WCC,50,8.14033772
email-Enron,AF-WCC,51,8.140346031
email-Enron,AF-WCC,52,8.140353017
email-Enron,AF-WCC,53,8.140359828000001
email-Enron,AF-WCC,54,8.140366941
email-Enron,AF-WCC,55,8.140381660000001
email-Enron,AF-WCC,56,8.140390604
email-Enron,AF-WCC,57,8.140400667
email-Enron,AF-WCC,58,8.140411199
email-Enron,AF-WCC,59,8.140418464
email-Enron,AF-WCC,60,8.140427269
email-Enron,AF-WCC,61,8.140438925
email-Enron,AF-WCC,62,8.140450538
email-Enron,AF-WCC,63,8.140458532
email-Enron,AF-WCC,64,8.140466264
email-Enron,AF-WCC,65,8.140477291
email-Enron,AF-WCC,66,8.140485412
email-Enron,AF-WCC,67,8.140493407000001
email-Enron,AF-WCC,68,8.140501128
email-Enron,AF-WCC,69,8.140512403
email-Enron,AF-WCC,70,8.140520185
email-Enron,AF-WCC,71,8.140528197
email-Enron,AF-WCC,72,8.140535906
email-Enron,AF-WCC,73,8.14054364
email-Enron,AF-WCC,74,8.140551573
email-Enron,AF-WCC,75,8.140559931
email-Enron,AF-WCC,76,8.14056916
email-Enron,AF-WCC,77,8.140577646
email-Enron,AF-WCC,78,8.140585055
email-Enron,AF-WCC,79,8.140592934
email-Enron,AF-WCC,80,8.140613826000001
email-Enron,AF-WCC,81,8.140621522
email-Enron,AF-WCC,82,8.140635672
email-Enron,AF-WCC,83,8.140647175
email-Enron,AF-WCC,84,8.140656438
email-Enron,AF-WCC,85,8.140671384000001
email-Enron,AF-WCC,86,8.140680796
email-Enron,AF-WCC,87,8.140690667000001
email-Enron,AF-WCC,88,8.140700107
email-Enron,AF-WCC,89,8.140707638
email-Enron,AF-WCC,90,8.140715063
email-Enron,AF-WCC,91,8.140721845
email-Enron,AF-WCC,92,8.140728817000001
email-Enron,AF-WCC,93,8.140736726
email-Enron,AF-WCC,94,8.140749665000001
email-Enron,AF-WCC,95,8.140770172
email-Enron,AF-WCC,96,8.140788939
email-Enron,AF-WCC,97,8.140804628
email-Enron,AF-WCC,98,8.140813711
email-Enron,AF-WCC,99,8.140820908
email-Enron,AF-WCC,100,8.140831017
email-Enron,AF-WCC,101,8.140844306
email-Enron,AF-WCC,102,8.140851776
email-Enron,AF-WCC,103,8.140862612000001
email-Enron,AF-WCC,104,8.140870132
email-Enron,AF-WCC,105,8.140877029
email-Enron,AF-WCC,106,8.140884423000001
email-Enron,AF-WCC,107,8.140891426000001
email-Enron,AF-WCC,108,8.140898391
email-Enron,AF-WCC,109,8.140906092
email-Enron,AF-WCC,110,8.140913608
email-Enron,AF-WCC,111,8.140921256
email-Enron,AF-WCC,112,8.140928598
email-Enron,AF-WCC,113,8.14093549
email-Enron,AF-WCC,114,8.140942887000001
email-Enron,AF-WCC,115,8.1409435
email-Enron,AF-WCC,116,8.140950578
email-Enron,AF-WCC,117,8.140958529
email-Enron,AF-WCC,118,8.140966037
email-Enron,AF-WCC,119,8.140973382
email-Enron,AF-WCC,120,8.140973426
email-Enron,AF-WCC,121,8.140984032
email-Enron,AF-WCC,122,8.140985658
email-Enron,AF-WCC,123,8.140995213
email-Enron,AF-WCC,124,8.140995924
email-Enron,AF-WCC,125,8.141006973
email-Enron,AF-WCC,126,8.141012506000001
email-Enron,AF-WCC,127,8.141015762
email-Enron,AF-WCC,128,8.141026309
email-Enron,AF-WCC,129,8.141030735000001
email-Enron,AF-WCC,130,8.141039471000001
email-Enron,AF-WCC,131,8.141049383
email-Enron,AF-WCC,132,8.141050282
email-Enron,AF-WCC,133,8.141058761
email-Enron,AF-WCC,134,8.141068238
email-Enron,AF-WCC,135,8.141070657
email-Enron,AF-WCC,136,8.141089908
email-Enron,AF-WCC,137,8.141092395000001
email-Enron,AF-WCC,138,8.141100515
email-Enron,AF-WCC,139,8.14111097
email-Enron,AF-WCC,140,8.141120204
email-Enron,AF-WCC,141,8.14112383
email-Enron,AF-WCC,142,8.141128254
email-Enron,AF-WCC,143,8.14551619
email-Enron,AF-WCC,144,8.14551621
email-Enron,AF-WCC,145,8.145516212
email-Enron,AF-WCC,146,8.145560513000001
email-Enron,AF-WCC,147,8.145561168
email-Enron,AF-WCC,148,8.145563416
email-Enron,AF-WCC,149,8.145570202
email-Enron,AF-WCC,150,8.145572213000001
email-Enron,AF-WCC,151,8.145574583
email-Enron,AF-WCC,152,8.145584528
email-Enron,AF-WCC,153,8.145585234
email-Enron,AF-WCC,154,8.145593401000001
email-Enron,AF-WCC,155,8.145601615
email-Enron,AF-WCC,156,8.145607393
email-Enron,AF-WCC,157,8.145607748
email-Enron,AF-WCC,158,8.145609193
email-Enron,AF-WCC,159,8.145621868000001
email-Enron,AF-WCC,160,8.145631385
email-Enron,AF-WCC,161,8.145637371000001
email-Enron,AF-WCC,162,8.145639152000001
email-Enron,AF-WCC,163,8.145639353
email-Enron,AF-WCC,164,8.145645822
email-Enron,AF-WCC,165,8.145646707000001
email-Enron,AF-WCC,166,8.145657937000001
email-Enron,AF-WCC,167,8.145659792
email-Enron,AF-WCC,168,8.145665499
email-Enron,AF-WCC,169,8.145666336
email-Enron,AF-WCC,170,8.145668065
email-Enron,AF-WCC,171,8.145675164
email-Enron,AF-WCC,172,8.145678663
email-Enron,AF-WCC,173,8.145679104000001
email-Enron,AF-WCC,174,8.145684837000001
email-Enron,AF-WCC,175,8.145687517
email-Enron,AF-WCC,176,8.14568833
email-Enron,AF-WCC,177,8.145690641
email-Enron,AF-WCC,178,8.145696377
email-Enron,AF-WCC,179,8.145696617
email-Enron,AF-WCC,180,8.145697133
email-Enron,AF-WCC,181,8.145703238000001
email-Enron,AF-WCC,182,8.1457061
email-Enron,AF-WCC,183,8.145706138000001
email-Enron,AF-WCC,184,8.145708346000001
email-Enron,AF-WCC,185,8.145714498
email-Enron,AF-WCC,186,8.145721298
email-Enron,AF-WCC,187,8.1457213
email-Enron,AF-WCC,188,8.145725444
email-Enron,AF-WCC,189,8.145730857
email-Enron,AF-WCC,190,8.145730859
email-Enron,AF-WCC,191,8.145731888
email-Enron,AF-WCC,192,8.145740938000001
email-Enron,AF-WCC,193,8.145745204
email-Enron,AF-WCC,194,8.145745665
email-Enron,AF-WCC,195,8.145746275
email-Enron,AF-WCC,196,8.145754556
email-Enron,AF-WCC,197,8.145754605
email-Enron,AF-WCC,198,8.145755108000001
email-Enron,AF-WCC,199,8.145761158000001
email-Enron,AF-WCC,200,8.145766587
email-Enron,AF-WCC,201,8.145766854
email-Enron,AF-WCC,202,8.145771223
email-Enron,AF-WCC,203,8.145773221
email-Enron,AF-WCC,204,8.145778510000001
email-Enron,AF-WCC,205,8.145782548
email-Enron,AF-WCC,206,8.145786157
email-Enron,AF-WCC,207,8.145790423000001
email-Enron,AF-WCC,208,8.145793446
email-Enron,AF-WCC,209,8.145797996
email-Enron,AF-WCC,210,8.145800702
email-Enron,AF-WCC,211,8.145805738
email-Enron,AF-WCC,212,8.145810176000001
email-Enron,AF-WCC,213,8.145814029
email-Enron,AF-WCC,214,8.145818736
email-Enron,AF-WCC,215,8.145823372
email-Enron,AF-WCC,216,8.145830527000001
email-Enron,AF-WCC,217,8.145830689
email-Enron,AF-WCC,218,8.145838838000001
email-Enron,AF-WCC,219,8.145838922000001
email-Enron,AF-WCC,220,8.145847397
email-Enron,AF-WCC,221,8.145852152
email-Enron,AF-WCC,222,8.145855223
email-Enron,AF-WCC,223,8.145859743
email-Enron,AF-WCC,224,8.145864210000001
email-Enron,AF-WCC,225,8.145866936000001
email-Enron,AF-WCC,226,8.145872507
email-Enron,AF-WCC,227,8.145875297
email-Enron,AF-WCC,228,8.145880713
email-Enron,AF-WCC,229,8.145882971
email-Enron,AF-WCC,230,8.145888478
email-Enron,AF-WCC,231,8.145890549
email-Enron,AF-WCC,232,8.145899236
email-Enron,AF-WCC,233,8.145902247
email-Enron,AF-WCC,234,8.1459069
email-Enron,AF-WCC,235,8.145909825
email-Enron,AF-WCC,236,8.145914340000001
email-Enron,AF-WCC,237,8.145917669000001
email-Enron,AF-WCC,238,8.145924917
email-Enron,AF-WCC,239,8.145925622
email-Enron,AF-WCC,240,8.145932720000001
email-Enron,AF-WCC,241,8.145932872000001
email-Enron,AF-WCC,242,8.145941973000001
email-Enron,AF-WCC,243,8.145941974000001
email-Enron,AF-WCC,244,8.145950139
email-Enron,AF-WCC,245,8.145950141
email-Enron,AF-WCC,246,8.145958403
email-Enron,AF-WCC,247,8.145958793
email-Enron,AF-WCC,248,8.145966663000001
email-Enron,AF-WCC,249,8.145966665000001
email-Enron,AF-WCC,250,8.145974989
email-Enron,AF-WCC,251,8.145982579
email-Enron,AF-WCC,252,8.145986946
email-Enron,AF-WCC,253,8.145990141
email-Enron,AF-WCC,254,8.145994853000001
email-Enron,AF-WCC,255,8.145997536000001
email-Enron,AF-WCC,256,8.146002581000001
email-Enron,AF-WCC,257,8.146006875000001
email-Enron,AF-WCC,258,8.146009997
email-Enron,AF-WCC,259,8.146014355
email-Enron,AF-WCC,260,8.146019717
email-Enron,AF-WCC,261,8.146023075
email-Enron,AF-WCC,262,8.146028891
email-Enron,AF-WCC,263,8.146030298000001
email-Enron,AF-WCC,264,8.14603664
email-Enron,AF-WCC,265,8.146039344
email-Enron,AF-WCC,266,8.146046878
email-Enron,AF-WCC,267,8.146047928
email-Enron,AF-WCC,268,8.146054741
email-Enron,AF-WCC,269,8.146055795
email-Enron,AF-WCC,270,8.146062711
email-Enron,AF-WCC,271,8.146062909000001
email-Enron,AF-WCC,272,8.146071363
email-Enron,AF-WCC,273,8.146071375
email-Enron,AF-WCC,274,8.146079831
email-Enron,AF-WCC,275,8.146080349
email-Enron,AF-WCC,276,8.146088018
email-Enron,AF-WCC,277,8.146088714000001
email-Enron,AF-WCC,278,8.146096027
email-Enron,AF-WCC,279,8.146096527000001
email-Enron,AF-WCC,280,8.146104758
email-Enron,AF-WCC,281,8.146104916
email-Enron,AF-WCC,282,8.146113041000001
email-Enron,AF-WCC,283,8.146114025000001
email-Enron,AF-WCC,284,8.14612085
email-Enron,AF-WCC,285,8.146121777000001
email-Enron,AF-WCC,286,8.146129292000001
email-Enron,AF-WCC,287,8.146129952
email-Enron,AF-WCC,288,8.146137182
email-Enron,AF-WCC,289,8.146137386000001
email-Enron,AF-WCC,290,8.146145266000001
email-Enron,AF-WCC,291,8.146148376000001
email-Enron,AF-WCC,292,8.146153053
email-Enron,AF-WCC,293,8.146155893000001
email-Enron,AF-WCC,294,8.146161466
email-Enron,AF-WCC,295,8.146163313
email-Enron,AF-WCC,296,8.146169189
email-Enron,AF-WCC,297,8.146170452
email-Enron,AF-WCC,298,8.146177302
email-Enron,AF-WCC,299,8.14617769
email-Enron,AF-WCC,300,8.146185478000001
email-Enron,AF-WCC,301,8.146185851
email-Enron,AF-WCC,302,8.146193610000001
email-Enron,AF-WCC,303,8.146193626
email-Enron,AF-WCC,304,8.146201894
email-Enron,AF-WCC,305,8.146201897000001
email-Enron,AF-WCC,306,8.146210203
email-Enron,AF-WCC,307,8.14621069
email-Enron,AF-WCC,308,8.146218239000001
email-Enron,AF-WCC,309,8.146219304
email-Enron,AF-WCC,310,8.146226245000001
email-Enron,AF-WCC,311,8.14622669
email-Enron,AF-WCC,312,8.146234383000001
email-Enron,AF-WCC,313,8.146234656
email-Enron,AF-WCC,314,8.146242228
email-Enron,AF-WCC,315,8.146242636
email-Enron,AF-WCC,316,8.146250174
email-Enron,AF-WCC,317,8.146250374000001
email-Enron,AF-WCC,318,8.146258284
email-Enron,AF-WCC,319,8.146258287
email-Enron,AF-WCC,320,8.146266695000001
email-Enron,AF-WCC,321,8.146267299
email-Enron,AF-WCC,322,8.146274847
email-Enron,AF-WCC,323,8.146277935
email-Enron,AF-WCC,324,8.146283441000001
email-Enron,AF-WCC,325,8.146287109000001
email-Enron,AF-WCC,326,8.146311875
email-Enron,AF-WCC,327,8.146311877
email-Enron,AF-WCC,328,8.146324379000001
email-Enron,AF-WCC,329,8.146325139
email-Enron,AF-WCC,330,8.146336223
email-Enron,AF-WCC,331,8.14633658
email-Enron,AF-WCC,332,8.146346402
