test,approach,answer,time
web-Google,AF-WCC,1,114.526949242
web-Google,AF-WCC,2,114.526949242
web-Google,AF-WCC,3,114.526949242
web-Google,AF-WCC,4,114.526949242
web-Google,AF-WCC,5,114.526949242
web-Google,AF-WCC,6,114.526949242
web-Google,AF-WCC,7,114.526949242
web-Google,AF-WCC,8,114.526949242
web-Google,AF-WCC,9,114.526949242
web-Google,AF-WCC,10,114.526949242
web-Google,AF-WCC,11,114.526949242
web-Google,AF-WCC,12,114.526949242
web-Google,AF-WCC,13,114.526949242
web-Google,AF-WCC,14,114.526949242
web-Google,AF-WCC,15,114.526949242
web-Google,AF-WCC,16,114.526949242
web-Google,AF-WCC,17,114.526949242
web-Google,AF-WCC,18,114.526949242
web-Google,AF-WCC,19,114.526949242
web-Google,AF-WCC,20,114.526949242
web-Google,AF-WCC,21,114.526949242
web-Google,AF-WCC,22,114.526949242
web-Google,AF-WCC,23,114.526949242
web-Google,AF-WCC,24,114.526949242
web-Google,AF-WCC,25,114.526949242
web-Google,AF-WCC,26,114.526949242
web-Google,AF-WCC,27,114.526949242
web-Google,AF-WCC,28,114.526949242
web-Google,AF-WCC,29,114.526949242
web-Google,AF-WCC,30,114.526949242
web-Google,AF-WCC,31,114.526949242
web-Google,AF-WCC,32,114.526949242
web-Google,AF-WCC,33,114.526949242
web-Google,AF-WCC,34,114.526949242
web-Google,AF-WCC,35,114.526949242
web-Google,AF-WCC,36,114.526949242
web-Google,AF-WCC,37,114.526949242
web-Google,AF-WCC,38,114.526949242
web-Google,AF-WCC,39,114.526949242
web-Google,AF-WCC,40,114.526949242
web-Google,AF-WCC,41,114.526949242
web-Google,AF-WCC,42,114.526949242
web-Google,AF-WCC,43,114.526949242
web-Google,AF-WCC,44,114.526949242
web-Google,AF-WCC,45,114.526949242
web-Google,AF-WCC,46,114.526949242
web-Google,AF-WCC,47,114.526949242
web-Google,AF-WCC,48,114.526949242
web-Google,AF-WCC,49,114.526949242
web-Google,AF-WCC,50,114.526949242
web-Google,AF-WCC,51,114.526949242
web-Google,AF-WCC,52,114.526949242
web-Google,AF-WCC,53,114.526949242
web-Google,AF-WCC,54,114.526949242
web-Google,AF-WCC,55,114.526949242
web-Google,AF-WCC,56,114.526949242
web-Google,AF-WCC,57,114.526949242
web-Google,AF-WCC,58,114.526949242
web-Google,AF-WCC,59,114.526949242
web-Google,AF-WCC,60,114.526949242
web-Google,AF-WCC,61,114.526949242
web-Google,AF-WCC,62,114.526949242
web-Google,AF-WCC,63,114.526949242
web-Google,AF-WCC,64,114.526949242
web-Google,AF-WCC,65,114.526949242
web-Google,AF-WCC,66,114.526949242
web-Google,AF-WCC,67,114.526949242
web-Google,AF-WCC,68,114.526949242
web-Google,AF-WCC,69,114.526949242
web-Google,AF-WCC,70,114.526949242
web-Google,AF-WCC,71,114.526949242
web-Google,AF-WCC,72,114.526949242
web-Google,AF-WCC,73,114.526949242
web-Google,AF-WCC,74,114.526949242
web-Google,AF-WCC,75,114.526949242
web-Google,AF-WCC,76,114.526949242
web-Google,AF-WCC,77,114.526949242
web-Google,AF-WCC,78,114.526949242
web-Google,AF-WCC,79,114.526949242
